variant,scenarioId,pack,family,mode,baselineRoute,ablatedRoute,baselineFalseSafe,ablatedFalseSafe,baselineOverSerialized,ablatedOverSerialized,baselineE2ESuccess,ablatedE2ESuccess
no-fallback-lock,registry-read-write-dependency,agr-benchmark,rw-dependency,agrOff,admit-parallel,admit-parallel,true,true,false,false,false,false
no-cid,registry-read-write-dependency,agr-benchmark,rw-dependency,layer1,admit-parallel,admit-parallel,true,true,false,false,false,false
no-shared-surface,registry-read-write-dependency,agr-benchmark,rw-dependency,layer1,admit-parallel,admit-parallel,true,true,false,false,false,false
no-rw-dependency,registry-read-write-dependency,agr-benchmark,rw-dependency,layer1,admit-parallel,admit-parallel,true,true,false,false,false,false
no-virtual-atom,registry-read-write-dependency,agr-benchmark,rw-dependency,layer1,admit-parallel,admit-parallel,true,true,false,false,false,false
no-conflict-key,registry-read-write-dependency,agr-benchmark,rw-dependency,layer1,admit-parallel,admit-parallel,true,true,false,false,false,false
no-cas,registry-read-write-dependency,agr-benchmark,rw-dependency,layer1,admit-parallel,admit-parallel,true,true,false,false,false,false
no-fallback-lock,registry-read-write-dependency,agr-benchmark,rw-dependency,layer1,admit-parallel,admit-parallel,true,true,false,false,false,false
no-cid,registry-read-write-dependency,agr-benchmark,rw-dependency,layer2Adr,serial,serial,false,false,false,false,true,true
no-shared-surface,registry-read-write-dependency,agr-benchmark,rw-dependency,layer2Adr,serial,serial,false,false,false,false,true,true
no-rw-dependency,registry-read-write-dependency,agr-benchmark,rw-dependency,layer2Adr,serial,admit-parallel,false,true,false,false,true,false
no-virtual-atom,registry-read-write-dependency,agr-benchmark,rw-dependency,layer2Adr,serial,serial,false,false,false,false,true,true
no-conflict-key,registry-read-write-dependency,agr-benchmark,rw-dependency,layer2Adr,serial,admit-parallel,false,true,false,false,true,false
no-cas,registry-read-write-dependency,agr-benchmark,rw-dependency,layer2Adr,serial,serial,false,false,false,false,true,true
no-fallback-lock,registry-read-write-dependency,agr-benchmark,rw-dependency,layer2Adr,serial,serial,false,false,false,false,true,true
no-cid,registry-parallel-safe-clean,agr-benchmark,unknown,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,registry-parallel-safe-clean,agr-benchmark,unknown,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,registry-parallel-safe-clean,agr-benchmark,unknown,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,registry-parallel-safe-clean,agr-benchmark,unknown,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,registry-parallel-safe-clean,agr-benchmark,unknown,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,registry-parallel-safe-clean,agr-benchmark,unknown,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,registry-parallel-safe-clean,agr-benchmark,unknown,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,registry-parallel-safe-clean,agr-benchmark,unknown,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,registry-parallel-safe-clean,agr-benchmark,unknown,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,registry-parallel-safe-clean,agr-benchmark,unknown,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,registry-parallel-safe-clean,agr-benchmark,unknown,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,registry-parallel-safe-clean,agr-benchmark,unknown,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,registry-parallel-safe-clean,agr-benchmark,unknown,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,registry-parallel-safe-clean,agr-benchmark,unknown,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,registry-parallel-safe-clean,agr-benchmark,unknown,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,registry-parallel-safe-clean,agr-benchmark,unknown,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,registry-parallel-safe-clean,agr-benchmark,unknown,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,registry-parallel-safe-clean,agr-benchmark,unknown,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,registry-parallel-safe-clean,agr-benchmark,unknown,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,registry-parallel-safe-clean,agr-benchmark,unknown,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,registry-parallel-safe-clean,agr-benchmark,unknown,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,compose-shared-validator-surface,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,compose-shared-validator-surface,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,compose-shared-validator-surface,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,compose-shared-validator-surface,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,compose-shared-validator-surface,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,compose-shared-validator-surface,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,compose-shared-validator-surface,agr-benchmark,shared-surface,agrOff,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,compose-shared-validator-surface,agr-benchmark,shared-surface,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,compose-shared-validator-surface,agr-benchmark,shared-surface,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,compose-shared-validator-surface,agr-benchmark,shared-surface,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,compose-shared-validator-surface,agr-benchmark,shared-surface,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,compose-shared-validator-surface,agr-benchmark,shared-surface,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,compose-shared-validator-surface,agr-benchmark,shared-surface,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,compose-shared-validator-surface,agr-benchmark,shared-surface,layer1,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cid,compose-shared-validator-surface,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-shared-surface,compose-shared-validator-surface,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-rw-dependency,compose-shared-validator-surface,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-virtual-atom,compose-shared-validator-surface,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-conflict-key,compose-shared-validator-surface,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-cas,compose-shared-validator-surface,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
no-fallback-lock,compose-shared-validator-surface,agr-benchmark,shared-surface,layer2Adr,admit-parallel,admit-parallel,false,false,false,false,true,true
